,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,updateSchema.0,String.0,kind.0,SchemaTO.0,schemaTO.0,try.0,restTemplate.0,postForObject.0,baseURL.0,+.0,"""schema/"".0",+.1,kind.1,+.2,"""/update"".0",schemaTO.1,SchemaTO.1,class.0,catch.0,SyncopeClientCompositeErrorException.0,e.0,LOG.0,error.0,"""While updating a user schema"".100",e.1,code,participant_summary
0,136,updateSchema,4627680,1211335200751,19849593403,1,1,"(0.18021543323993683, 0.2832736670970917)","(0.17524881660938263, 0.2696617841720581)",1,1,2.5308074951171875,2.533782958984375,Fixation,POINT (0.1777321249246597 0.2764677256345749),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335209085,19849601737,1,1,"(0.17948073148727417, 0.27906498312950134)","(0.17517715692520142, 0.2584666907787323)",1,1,2.545394897460937,2.50823974609375,Fixation,POINT (0.1773289442062378 0.2687658369541168),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335217418,19849610070,1,1,"(0.17193099856376648, 0.28693851828575134)","(0.17221510410308838, 0.26692453026771545)",1,1,2.5428924560546875,2.5292510986328125,Fixation,POINT (0.1720730513334274 0.2769315242767334),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335225751,19849618403,1,1,"(0.16607528924942017, 0.276905357837677)","(0.17000989615917206, 0.25455841422080994)",1,1,2.555511474609375,2.537933349609375,Fixation,POINT (0.1680425927042961 0.2657318860292435),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335234085,19849626737,1,1,"(0.17096611857414246, 0.28260812163352966)","(0.17279668152332306, 0.2532504200935364)",1,1,2.53387451171875,2.55206298828125,Fixation,POINT (0.1718814000487328 0.267929270863533),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335242418,19849635070,1,1,"(0.17652997374534607, 0.2812175154685974)","(0.17605049908161163, 0.2550050914287567)",1,1,2.5637664794921875,2.5298309326171875,Fixation,POINT (0.1762902364134788 0.2681113034486771),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335250751,19849643403,1,1,"(0.17755964398384094, 0.28188657760620117)","(0.17084766924381256, 0.2658647298812866)",1,1,2.5516357421875,2.55206298828125,Fixation,POINT (0.1742036566138268 0.2738756537437439),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335259085,19849651737,1,1,"(0.17288075387477875, 0.2730852961540222)","(0.1702137589454651, 0.248244971036911)",1,1,2.53765869140625,2.5452423095703125,Fixation,POINT (0.1715472564101219 0.2606651335954666),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335267418,19849660070,1,1,"(0.16837178170681, 0.28300634026527405)","(0.1685875952243805, 0.23961111903190613)",1,1,2.559555053710937,2.546173095703125,Fixation,POINT (0.1684796884655952 0.2613087296485901),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335275751,19849668403,1,1,"(0.17297600209712982, 0.2875831127166748)","(0.1789327710866928, 0.24860787391662598)",1,1,2.54296875,2.5615997314453125,Fixation,POINT (0.1759543865919113 0.2680954933166504),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335284085,19849676737,1,1,"(0.183881476521492, 0.28102588653564453)","(0.1779109537601471, 0.24793076515197754)",1,1,2.546112060546875,2.5283966064453125,Fixation,POINT (0.1808962151408196 0.264478325843811),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335292426,19849685077,1,1,"(0.17678076028823853, 0.2820625305175781)","(0.1689550280570984, 0.24806846678256989)",1,1,2.5433349609375,2.5600128173828125,Fixation,POINT (0.1728678941726685 0.265065498650074),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335300759,19849693410,1,1,"(0.1672426164150238, 0.277545303106308)","(0.17154128849506378, 0.24507687985897064)",1,1,2.540756225585937,2.5522003173828125,Fixation,POINT (0.1693919524550438 0.2613110914826393),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335309093,19849701744,1,1,"(0.173071950674057, 0.2919282913208008)","(0.17472584545612335, 0.2570333182811737)",1,1,2.548919677734375,2.537384033203125,Fixation,POINT (0.1738988980650902 0.2744808048009872),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335317426,19849710077,1,1,"(0.1738780438899994, 0.28226232528686523)","(0.17806673049926758, 0.26197171211242676)",1,1,2.5499267578125,2.54254150390625,Fixation,POINT (0.1759723871946335 0.272117018699646),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335325759,19849718410,1,1,"(0.1750982701778412, 0.28299301862716675)","(0.17617157101631165, 0.2675972580909729)",1,1,2.518951416015625,2.5153350830078125,Fixation,POINT (0.1756349205970764 0.2752951383590698),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335334093,19849726744,1,1,"(0.1712171882390976, 0.2770825922489166)","(0.16726867854595184, 0.25982531905174255)",1,1,2.539581298828125,2.517440795898437,Fixation,POINT (0.1692429333925247 0.2684539556503296),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335342426,19849735077,1,1,"(0.17322516441345215, 0.2698352038860321)","(0.16989034414291382, 0.26029378175735474)",1,1,2.5505523681640625,2.542831420898437,Fixation,POINT (0.171557754278183 0.2650644928216934),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335350759,19849743410,1,1,"(0.17375946044921875, 0.2723419964313507)","(0.17432820796966553, 0.2529442012310028)",1,1,2.55352783203125,2.5309295654296875,Fixation,POINT (0.1740438342094421 0.2626430988311768),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335359093,19849751744,1,1,"(0.17689839005470276, 0.2756691575050354)","(0.1754744052886963, 0.24977479875087738)",1,1,2.5445709228515625,2.5374755859375,Fixation,POINT (0.1761863976716995 0.2627219781279564),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335367426,19849760077,1,1,"(0.1777438223361969, 0.2693041265010834)","(0.17223164439201355, 0.25374236702919006)",1,1,2.542877197265625,2.551361083984375,Fixation,POINT (0.1749877333641052 0.2615232467651367),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335375759,19849768410,1,1,"(0.17981372773647308, 0.27383312582969666)","(0.17040665447711945, 0.25120964646339417)",1,1,2.54742431640625,2.54656982421875,Fixation,POINT (0.1751101911067963 0.2625213861465454),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335384093,19849776744,1,1,"(0.17787519097328186, 0.2729906737804413)","(0.16744624078273773, 0.24536022543907166)",1,1,2.5410308837890625,2.5554962158203125,Fixation,POINT (0.1726607158780098 0.2591754496097565),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335392426,19849785077,1,1,"(0.17522166669368744, 0.2747615873813629)","(0.16874229907989502, 0.23774808645248413)",1,1,2.552841186523437,2.538482666015625,Fixation,POINT (0.1719819828867912 0.2562548369169235),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335400759,19849793410,1,1,"(0.16829867660999298, 0.2706667184829712)","(0.172277569770813, 0.24758782982826233)",1,1,2.5560302734375,2.525787353515625,Fixation,POINT (0.170288123190403 0.2591272741556168),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335409092,19849801743,1,1,"(0.172817200422287, 0.2670673429965973)","(0.17872284352779388, 0.24300932884216309)",1,1,2.546783447265625,2.5342254638671875,Fixation,POINT (0.1757700219750404 0.2550383359193802),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335417426,19849810077,1,1,"(0.17395484447479248, 0.26565709710121155)","(0.17705105245113373, 0.24906928837299347)",1,1,2.5403594970703125,2.53717041015625,Fixation,POINT (0.1755029484629631 0.2573631927371025),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335425764,19849818415,1,1,"(0.17894499003887177, 0.2741427421569824)","(0.17172974348068237, 0.2507079839706421)",1,1,2.541168212890625,2.528961181640625,Fixation,POINT (0.1753373667597771 0.2624253630638123),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335434097,19849826748,1,1,"(0.18011067807674408, 0.2689343988895416)","(0.16479036211967468, 0.25912946462631226)",1,1,2.5412139892578125,2.538436889648437,Fixation,POINT (0.1724505200982094 0.2640319317579269),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335442431,19849835082,1,1,"(0.1810024082660675, 0.2808184027671814)","(0.17104870080947876, 0.2528265714645386)",1,1,2.5487518310546875,2.5345458984375,Fixation,POINT (0.1760255545377731 0.26682248711586),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335609104,19850001754,1,1,"(0.24133066833019257, 0.2764694094657898)","(0.23573140799999237, 0.23663076758384705)",1,1,2.596786499023437,2.596160888671875,,POINT (0.2385310381650925 0.2565500885248184),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335634102,19850026752,1,1,"(0.2497580647468567, 0.2927282750606537)","(0.23418018221855164, 0.2864435911178589)",1,1,2.6064453125,2.54248046875,Fixation,POINT (0.2419691234827042 0.2895859330892563),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335642436,19850035086,1,1,"(0.246273472905159, 0.28937897086143494)","(0.2393520623445511, 0.2700846493244171)",1,1,2.5821075439453125,2.596527099609375,Fixation,POINT (0.242812767624855 0.279731810092926),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335650769,19850043419,1,1,"(0.24772924184799194, 0.2814319431781769)","(0.238753542304039, 0.264648973941803)",1,1,2.5730133056640625,2.6021728515625,Fixation,POINT (0.2432413920760155 0.2730404585599899),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335659102,19850051752,1,1,"(0.24884860217571259, 0.287551611661911)","(0.24151171743869781, 0.25771161913871765)",1,1,2.601181030273437,2.61541748046875,Fixation,POINT (0.2451801598072052 0.2726316154003143),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335667436,19850060086,1,1,"(0.25045204162597656, 0.28041282296180725)","(0.23950517177581787, 0.26096805930137634)",1,1,2.601913452148437,2.607757568359375,Fixation,POINT (0.2449786067008972 0.2706904411315918),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335675769,19850068419,1,1,"(0.25526535511016846, 0.2722487449645996)","(0.24019579589366913, 0.2602425217628479)",1,1,2.587753295898437,2.60455322265625,Fixation,POINT (0.2477305755019188 0.2662456333637238),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335684105,19850076755,1,1,"(0.2496032416820526, 0.28073650598526)","(0.23629038035869598, 0.2587917745113373)",1,1,2.5991363525390625,2.6088104248046875,Fixation,POINT (0.2429468110203743 0.2697641402482986),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,updateSchema,4627680,1211335692439,19850085089,1,1,"(0.2506465017795563, 0.28050723671913147)","(0.23618324100971222, 0.2580636143684387)",1,1,2.600936889648437,2.5962066650390625,Fixation,POINT (0.2434148713946342 0.2692854255437851),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
