,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,BFSdist.0,Node.0,n.0,Vector.0,ToDo.0,int.0,indirConn.0,Node.1,n2.0,=.0,nan.0,for.0,Enumeration.0,es.0,=.1,n.1,adjEdges.0,elements.0,es.1,hasMoreElements.0,n2.1,=.2,n.2,adjNode.0,Edge.0,es.2,nextElement.0,if.0,n2.2,dist.0,<.0,0.0,n2.3,dist.1,=.3,n.3,dist.2,+.0,1.0,indirConn.1,n2.4,dist.3,++.0,// important add adds to the end of the list.200,ToDo.1,add.0,n2.5,if.1,ToDo.2,isEmpty.0,n2.6,=.4,Node.2,ToDo.3,remove.0,0.1,BFSdist.1,n2.7,ToDo.4,indirConn.2,code,participant_summary
0,136,BFSdist,44521080,1212082304930,20596694611,1,1,"(0.8997323513031006, 0.356831431388855)","(0.9148383736610413, 0.3828743100166321)",1,1,2.612518310546875,2.538604736328125,Fixation,POINT (0.9072853624820709 0.3698528707027435),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082313264,20596702945,1,1,"(0.9059743285179138, 0.3556603491306305)","(0.9186004996299744, 0.396426796913147)",1,1,2.623748779296875,2.5200347900390625,Fixation,POINT (0.9122874140739441 0.3760435730218887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082321597,20596711278,1,1,"(0.9141668081283569, 0.3652605414390564)","(0.9193861484527588, 0.4048394560813904)",1,1,2.622802734375,2.5308837890625,Fixation,POINT (0.9167764782905579 0.3850499987602234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082329930,20596719611,1,1,"(0.9141549468040466, 0.3674541711807251)","(0.9131819009780884, 0.39278483390808105)",1,1,2.588119506835937,2.5401763916015625,Fixation,POINT (0.9136684238910675 0.3801195025444031),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,BFSdist,44521080,1212082446603,20596836284,1,1,"(0.07076478749513626, 0.16406413912773132)","(0.09761203825473785, 0.16913969814777374)",1,1,2.466781616210937,2.538543701171875,Fixation,POINT (0.0841884128749371 0.1666019186377525),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082454938,20596844619,1,1,"(0.06362269818782806, 0.1635371297597885)","(0.09429635107517242, 0.14935418963432312)",1,1,2.4780731201171875,2.538543701171875,Fixation,POINT (0.0789595246315002 0.1564456596970558),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082463272,20596852953,1,1,"(0.0651535913348198, 0.16973736882209778)","(0.10486455261707306, 0.15207576751708984)",1,1,2.4766845703125,2.5539703369140625,Fixation,POINT (0.0850090719759464 0.1609065681695938),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082471606,20596861286,1,1,"(0.07444380968809128, 0.17603687942028046)","(0.09596940875053406, 0.172891303896904)",1,1,2.453353881835937,2.5379791259765625,Fixation,POINT (0.0852066092193127 0.1744640916585922),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082479939,20596869619,1,1,"(0.062566839158535, 0.15805692970752716)","(0.09597598761320114, 0.15469758212566376)",1,1,2.4693145751953125,2.52703857421875,Fixation,POINT (0.0792714133858681 0.1563772559165955),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082488272,20596877952,1,1,"(0.07456977665424347, 0.16403226554393768)","(0.0962584987282753, 0.1401914656162262)",1,1,2.451873779296875,2.52447509765625,Fixation,POINT (0.0854141376912594 0.1521118655800819),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082496606,20596886286,1,1,"(0.07334183156490326, 0.16514192521572113)","(0.08801480382680893, 0.14876751601696014)",1,1,2.4323883056640625,2.5161590576171875,Fixation,POINT (0.0806783176958561 0.1569547206163406),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082504939,20596894619,1,1,"(0.07389296591281891, 0.14920392632484436)","(0.0979044958949089, 0.15209732949733734)",1,1,2.43707275390625,2.5096435546875,Fixation,POINT (0.0858987309038639 0.1506506279110908),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,BFSdist,44521080,1212082513273,20596902953,1,1,"(0.08027689903974533, 0.16412566602230072)","(0.08639751374721527, 0.13908502459526062)",1,1,2.4370269775390625,2.50518798828125,Fixation,POINT (0.0833372063934803 0.1516053453087807),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
