,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,String.0,getUserNameFromCookie.0,throws.0,Exception.0,String.1,userName.0,=.0,nan.0,// get user name.200,Cookie.0,cookies.0,=.1,servletRequest.0,getCookies.0,for.0,int.0,i.0,=.2,0.0,i.1,<.0,cookies.1,length.0,i.2,Cookie.1,cookie.0,=.3,cookies.2,i.3,if.0,cookie.1,!=.0,nan.1,&&.0,cookie.2,getName.0,equals.0,"""platform.username"".0",String.2,value.0,=.4,cookie.3,getValue.0,userName.1,=.5,DesEncrypter.0,getInstance.0,decrypt.0,value.1,break.0,return.0,userName.2,code,participant_summary
0,136,getUserNameFromCookie,1694531,1212384633468,20899021888,1,1,"(0.11565721780061722, 0.14784353971481323)","(0.12722016870975494, 0.14932523667812347)",1,1,2.3631591796875,2.3523406982421875,Fixation,POINT (0.1214386932551861 0.1485843881964684),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384641801,20899030221,1,1,"(0.12137595564126968, 0.13942953944206238)","(0.12957394123077393, 0.14970657229423523)",1,1,2.3602752685546875,2.3548583984375,Fixation,POINT (0.1254749484360218 0.1445680558681488),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384650135,20899038555,1,1,"(0.11514946818351746, 0.14962413907051086)","(0.12943139672279358, 0.15091513097286224)",1,1,2.375228881835937,2.3727569580078125,Fixation,POINT (0.1222904324531555 0.1502696350216866),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384658468,20899046888,1,1,"(0.1203065738081932, 0.16554170846939087)","(0.1270500123500824, 0.15497027337551117)",1,1,2.356536865234375,2.32891845703125,Fixation,POINT (0.1236782930791378 0.160255990922451),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384666801,20899055221,1,1,"(0.12052763998508453, 0.1550215780735016)","(0.12370112538337708, 0.1534254401922226)",1,1,2.340423583984375,2.356597900390625,Fixation,POINT (0.1221143826842308 0.1542235091328621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384675135,20899063555,1,1,"(0.12137670814990997, 0.13665857911109924)","(0.12326174974441528, 0.16372953355312347)",1,1,2.350814819335937,2.32305908203125,Fixation,POINT (0.1223192289471626 0.1501940563321114),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384683468,20899071888,1,1,"(0.12620510160923004, 0.1475611925125122)","(0.126884326338768, 0.160841166973114)",1,1,2.327484130859375,2.3111114501953125,Fixation,POINT (0.126544713973999 0.1542011797428131),,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384691801,20899080221,1,1,"(0.12158505618572235, 0.149910107254982)","(0.1262773871421814, 0.1594531238079071)",1,1,2.350433349609375,2.3332672119140625,Fixation,POINT (0.1239312216639519 0.1546816155314446),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384700139,20899088559,1,1,"(0.11727986484766006, 0.16138418018817902)","(0.13242758810520172, 0.15396559238433838)",1,1,2.339599609375,2.330322265625,Fixation,POINT (0.1248537264764309 0.1576748862862587),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getUserNameFromCookie,1694531,1212384708472,20899096892,1,1,"(0.11527609080076218, 0.15862701833248138)","(0.1242063120007515, 0.1662118136882782)",1,1,2.330429077148437,2.326904296875,Fixation,POINT (0.1197412014007568 0.1624194160103798),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
