,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,WordFormGenerator.0,getFastestGenerator.0,final.0,Locale.0,locale.0,throws.0,MorphologyException.0,if.0,locale.1,==.0,nan.0,throw.0,new.0,IllegalArgumentException.0,"""The 'loc' argument cannot be nan "".100",WordFormGenerator.1,component.0,=.0,WordFormGenerator.2,fastestGenerators.0,get.0,locale.2,if.1,component.1,==.1,nan.1,throw.1,new.1,MorphologyException.1,"""Cannot find generator for locales : "".101",+.0,locale.3,toString.0,return.0,component.2,prewritten,accurate,missing,unnecessary,readable,code
0,136,getFastestGenerator,34609355,1209948505649,18462903434,1,1,"(0.21065950393676758, 0.19640402495861053)","(0.21310169994831085, 0.22081254422664642)",1,1,2.443634033203125,2.4880828857421875,Fixation,POINT (0.2118806019425392 0.2086082845926285),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948513983,18462911768,1,1,"(0.2131274789571762, 0.20039887726306915)","(0.21411778032779694, 0.21749913692474365)",1,1,2.4403076171875,2.50445556640625,Fixation,POINT (0.2136226296424866 0.2089490070939064),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948547317,18462945102,1,1,"(0.2995598316192627, 0.20770782232284546)","(0.30891939997673035, 0.2251054048538208)",1,1,2.4553985595703125,2.4954986572265625,Fixation,POINT (0.3042396157979965 0.2164066135883331),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948555650,18462953435,1,1,"(0.30695876479148865, 0.20642192661762238)","(0.3114074766635895, 0.2133612334728241)",1,1,2.484710693359375,2.4518280029296875,Fixation,POINT (0.3091831207275391 0.2098915800452232),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948563984,18462961769,1,1,"(0.3096235692501068, 0.20962484180927277)","(0.3098607361316681, 0.217364102602005)",1,1,2.4552459716796875,2.4609832763671875,Fixation,POINT (0.3097421526908874 0.2134944722056389),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948572316,18462970101,1,1,"(0.30520713329315186, 0.20800209045410156)","(0.31091752648353577, 0.22048521041870117)",1,1,2.4720001220703125,2.46728515625,Fixation,POINT (0.3080623298883438 0.2142436504364014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948580651,18462978436,1,1,"(0.30970218777656555, 0.20985862612724304)","(0.3136186897754669, 0.21057449281215668)",1,1,2.4519195556640625,2.4449615478515625,Fixation,POINT (0.3116604387760162 0.2102165594696999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948588983,18462986768,1,1,"(0.30796751379966736, 0.2094074785709381)","(0.3093123137950897, 0.21754969656467438)",1,1,2.4716033935546875,2.45733642578125,Fixation,POINT (0.3086399137973785 0.2134785875678062),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948597317,18462995102,1,1,"(0.3055775761604309, 0.20845846831798553)","(0.3103310465812683, 0.2225465327501297)",1,1,2.4673309326171875,2.4658203125,Fixation,POINT (0.3079543113708496 0.2155025005340576),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948605650,18463003435,1,1,"(0.30854982137680054, 0.2074221670627594)","(0.3097320795059204, 0.21549361944198608)",1,1,2.4529266357421875,2.451385498046875,Fixation,POINT (0.3091409504413605 0.2114578932523727),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948613984,18463011769,1,1,"(0.3053830564022064, 0.20476050674915314)","(0.3092869520187378, 0.21467536687850952)",1,1,2.44793701171875,2.4578857421875,Fixation,POINT (0.3073350042104721 0.2097179368138313),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948622317,18463020102,1,1,"(0.30791139602661133, 0.2070200890302658)","(0.3108162581920624, 0.22155995666980743)",1,1,2.4453887939453125,2.448394775390625,Fixation,POINT (0.3093638271093368 0.2142900228500366),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948630656,18463028441,1,1,"(0.3079019784927368, 0.20609800517559052)","(0.30935221910476685, 0.2200821340084076)",1,1,2.4498291015625,2.48431396484375,Fixation,POINT (0.3086270987987518 0.213090069591999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948638990,18463036775,1,1,"(0.3056638538837433, 0.20815236866474152)","(0.30944281816482544, 0.22616402804851532)",1,1,2.456161499023437,2.477752685546875,Fixation,POINT (0.3075533360242844 0.2171581983566284),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948647323,18463045108,1,1,"(0.30713343620300293, 0.2032288908958435)","(0.3091432750225067, 0.20670825242996216)",1,1,2.4480438232421875,2.4623260498046875,Fixation,POINT (0.3081383556127548 0.2049685716629028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948655657,18463053442,1,1,"(0.30852270126342773, 0.2086666226387024)","(0.308002233505249, 0.22353337705135345)",1,1,2.452545166015625,2.46380615234375,Fixation,POINT (0.3082624673843384 0.2160999998450279),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948663990,18463061775,1,1,"(0.3097544014453888, 0.19547179341316223)","(0.3128470480442047, 0.21341823041439056)",1,1,2.442108154296875,2.4432525634765625,Fixation,POINT (0.3113007247447968 0.2044450119137764),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948672323,18463070108,1,1,"(0.30445533990859985, 0.211833655834198)","(0.31058281660079956, 0.22297441959381104)",1,1,2.4618682861328125,2.4780731201171875,Fixation,POINT (0.3075190782546997 0.2174040377140045),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948680657,18463078442,1,1,"(0.30639955401420593, 0.20784758031368256)","(0.31498950719833374, 0.22547511756420135)",1,1,2.4365234375,2.4791259765625,Fixation,POINT (0.3106945306062698 0.216661348938942),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948688990,18463086775,1,1,"(0.30669814348220825, 0.20474448800086975)","(0.30803996324539185, 0.21444936096668243)",1,1,2.4394989013671875,2.461944580078125,Fixation,POINT (0.3073690533638 0.2095969244837761),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948697323,18463095108,1,1,"(0.30697229504585266, 0.20283854007720947)","(0.31205159425735474, 0.21380996704101562)",1,1,2.442855834960937,2.45159912109375,Fixation,POINT (0.3095119446516037 0.2083242535591126),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948705657,18463103442,1,1,"(0.3089180886745453, 0.19880470633506775)","(0.31010672450065613, 0.22064438462257385)",1,1,2.4484405517578125,2.4727020263671875,Fixation,POINT (0.3095124065876007 0.2097245454788208),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948713991,18463111775,1,1,"(0.3063848614692688, 0.21108771860599518)","(0.30876365303993225, 0.2274436354637146)",1,1,2.451278686523437,2.477386474609375,Fixation,POINT (0.3075742572546005 0.2192656770348549),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948722324,18463120108,1,1,"(0.3062983453273773, 0.20389831066131592)","(0.3121921420097351, 0.21950866281986237)",1,1,2.4483795166015625,2.4643096923828125,Fixation,POINT (0.3092452436685562 0.2117034867405891),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948730658,18463128442,1,1,"(0.3087266981601715, 0.20496682822704315)","(0.3095175623893738, 0.20805028080940247)",1,1,2.4366607666015625,2.446640014648437,Fixation,POINT (0.3091221302747726 0.2065085545182228),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getFastestGenerator,34609355,1209948738991,18463136775,1,1,"(0.30560731887817383, 0.21031561493873596)","(0.30997341871261597, 0.22426176071166992)",1,1,2.436752319335937,2.4632720947265625,Fixation,POINT (0.3077903687953949 0.2172886878252029),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
