,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,init.0,_innerData.0,=.0,Collections.0,synchronizedMap.0,new.0,LinkedHashMap.0,String.0,Object.0,>.0,Iterator.0,Entry.0,<.2,String.1,Object.1,>.1,itr.0,=.1,_srcModel.0,entrySet.0,iterator.0,while.0,itr.1,hasNext.0,Entry.1,String.2,Object.2,>.3,entry.0,=.2,itr.2,next.0,_innerData.1,put.0,entry.1,getKey.0,entry.2,getValue.0,_srcListener.0,=.3,new.1,ListDataListener.0,public.1,void.1,onChange.0,ListDataEvent.0,event.0,onListDataChange.0,event.1,};	.0,_srcModel.1,addListDataListener.0,_srcListener.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,init,43040436,1209072413499,17586814526,1,1,"(0.6759889125823975, 0.21309271454811096)","(0.6683053374290466, 0.23173576593399048)",1,1,2.4266510009765625,2.3174591064453125,Fixation,POINT (0.672147125005722 0.2224142402410507),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072421833,17586822860,1,1,"(0.6679747104644775, 0.2157343178987503)","(0.6670555472373962, 0.2161189615726471)",1,1,2.409271240234375,2.3258209228515625,Fixation,POINT (0.6675151288509369 0.2159266397356987),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072430166,17586831193,1,1,"(0.6708410978317261, 0.21493342518806458)","(0.6681191921234131, 0.2252848744392395)",1,1,2.420379638671875,2.2931671142578125,Fixation,POINT (0.6694801449775696 0.220109149813652),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072438499,17586839526,1,1,"(0.6741617918014526, 0.21966272592544556)","(0.6727827191352844, 0.2372862994670868)",1,1,2.39239501953125,2.348358154296875,Fixation,POINT (0.6734722554683685 0.2284745126962662),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072446833,17586847860,1,1,"(0.674624502658844, 0.20914685726165771)","(0.6702905297279358, 0.22773520648479462)",1,1,2.398529052734375,2.2765045166015625,Fixation,POINT (0.6724575161933899 0.2184410318732262),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072455166,17586856193,1,1,"(0.6754941940307617, 0.21162745356559753)","(0.6728804111480713, 0.23066559433937073)",1,1,2.408432006835937,2.305145263671875,Fixation,POINT (0.6741873025894165 0.2211465239524841),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072463499,17586864526,1,1,"(0.6800113320350647, 0.2023131400346756)","(0.6741256713867188, 0.23079653084278107)",1,1,2.3926239013671875,2.3274078369140625,Fixation,POINT (0.6770685017108917 0.2165548354387283),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072471833,17586872860,1,1,"(0.6768155097961426, 0.21434301137924194)","(0.6757313013076782, 0.21931403875350952)",1,1,2.388656616210937,2.249862670898437,Fixation,POINT (0.6762734055519104 0.2168285250663757),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072480166,17586881193,1,1,"(0.6764501333236694, 0.2148648500442505)","(0.6716418266296387, 0.22151726484298706)",1,1,2.3783416748046875,2.2810516357421875,Fixation,POINT (0.674045979976654 0.2181910574436188),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,init,43040436,1209072488499,17586889526,1,1,"(0.6773090362548828, 0.2105422168970108)","(0.6718050837516785, 0.22873006761074066)",1,1,2.37835693359375,2.2863922119140625,Fixation,POINT (0.6745570600032806 0.2196361422538757),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
