,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,refreshTreePanel.0,root.0,removeAllChildren.0,root.1,=.0,new.0,DefaultMutableTreeNode.0,"""ALL"".0",treeModel.0,=.1,new.1,DefaultTreeModel.0,root.2,tree.0,setModel.0,treeModel.1,tree.1,setBounds.0,new.2,Rectangle.0,0.0,0.1,196.0,443.0,tree.2,setLayout.0,nan.0,tree.3,setBackground.0,Color.0,white.0,tree.4,setCellRenderer.0,new.3,UserIconRenderer.0,addAllUsers.0,TreePath.0,treePath.0,=.2,tree.5,getPathForRow.0,0.2,tree.6,fireTreeExpanded.0,treePath.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,refreshTreePanel,35553511,1208460457203,16974859921,1,1,"(0.12769241631031036, 0.15240053832530975)","(0.12584124505519867, 0.16651228070259094)",1,1,2.5497283935546875,2.656829833984375,Fixation,POINT (0.1267668306827545 0.1594564095139504),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460465536,16974868254,1,1,"(0.12203521281480789, 0.1538880318403244)","(0.12608429789543152, 0.17031554877758026)",1,1,2.53729248046875,2.6518096923828125,Fixation,POINT (0.1240597553551197 0.1621017903089523),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460473869,16974876587,1,1,"(0.12694108486175537, 0.15653502941131592)","(0.1255628764629364, 0.16397970914840698)",1,1,2.5116729736328125,2.64312744140625,Fixation,POINT (0.1262519806623459 0.1602573692798614),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460482203,16974884921,1,1,"(0.12769068777561188, 0.1536482870578766)","(0.1194191724061966, 0.16584007441997528)",1,1,2.530517578125,2.631195068359375,Fixation,POINT (0.1235549300909042 0.1597441807389259),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460490536,16974893254,1,1,"(0.12134522944688797, 0.15930557250976562)","(0.12675870954990387, 0.16322147846221924)",1,1,2.5108184814453125,2.62042236328125,Fixation,POINT (0.1240519694983959 0.1612635254859924),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460498869,16974901587,1,1,"(0.1277109533548355, 0.1572021096944809)","(0.12492509186267853, 0.16689127683639526)",1,1,2.5055694580078125,2.607696533203125,Fixation,POINT (0.126318022608757 0.1620466932654381),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,refreshTreePanel,35553511,1208460573873,16974976591,1,1,"(0.6701647639274597, 0.23478412628173828)","(0.67100989818573, 0.2554311454296112)",1,1,2.5883026123046875,2.5564422607421875,Fixation,POINT (0.6705873310565948 0.2451076358556747),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460582207,16974984925,1,1,"(0.6706710457801819, 0.22710993885993958)","(0.6670483350753784, 0.2525092661380768)",1,1,2.57415771484375,2.5347442626953125,Fixation,POINT (0.6688596904277802 0.2398096024990082),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460590540,16974993258,1,1,"(0.6692741513252258, 0.23167766630649567)","(0.6698323488235474, 0.25616997480392456)",1,1,2.547393798828125,2.5103759765625,Fixation,POINT (0.6695532500743866 0.2439238205552101),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460598873,16975001591,1,1,"(0.6765861511230469, 0.23761677742004395)","(0.6667982339859009, 0.2451990395784378)",1,1,2.553070068359375,2.498443603515625,Fixation,POINT (0.6716921925544739 0.2414079084992409),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,refreshTreePanel,35553511,1208460607206,16975009924,1,1,"(0.6748853325843811, 0.2385842651128769)","(0.6660040020942688, 0.24309630692005157)",1,1,2.5324249267578125,2.48150634765625,Fixation,POINT (0.670444667339325 0.2408402860164642),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
