,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,close.0,Tabpanel.0,tempPanel.0,=.0,nan.0,View.0,tempView.0,=.1,nan.1,List.0,?.0,>.0,list.0,Enumeration.0,Tabbox.0,>.1,tabs.0,=.2,primaryTabMap.0,keys.0,while.0,tabs.1,hasMoreElements.0,list.1,=.3,tabs.2,nextElement.0,getTabpanels.0,getChildren.0,Iterator.0,?.1,>.2,itr.0,=.4,list.2,iterator.0,while.1,itr.1,hasNext.0,tempPanel.1,=.5,Tabpanel.1,itr.2,next.0,tempView.1,=.6,View.1,tempPanel.2,getChildren.1,get.0,0.0,tempView.2,deregisterView.0,prewritten,accurate,missing,unnecessary,readable,code
0,136,close,34413807,1208395771478,16910174356,1,1,"(0.09235455095767975, 0.4509660005569458)","(0.10886704921722412, 0.46808353066444397)",1,1,2.770004272460937,2.799545288085937,Fixation,POINT (0.1006108000874519 0.4595247656106949),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395779811,16910182689,1,1,"(0.09207893162965775, 0.44326284527778625)","(0.10625170171260834, 0.470241516828537)",1,1,2.769012451171875,2.798736572265625,Fixation,POINT (0.099165316671133 0.4567521810531616),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395788144,16910191022,1,1,"(0.08782703429460526, 0.4390581250190735)","(0.10265938192605972, 0.47140565514564514)",1,1,2.768585205078125,2.797332763671875,Fixation,POINT (0.0952432081103325 0.4552318900823593),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395796478,16910199356,1,1,"(0.09265032410621643, 0.44775572419166565)","(0.10546249896287918, 0.47744879126548767)",1,1,2.767486572265625,2.7913970947265625,Fixation,POINT (0.0990564115345478 0.4626022577285767),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395804811,16910207689,1,1,"(0.09016293287277222, 0.44771915674209595)","(0.10201733559370041, 0.4680807292461395)",1,1,2.7673492431640625,2.782562255859375,Fixation,POINT (0.0960901342332363 0.4578999429941177),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395813144,16910216022,1,1,"(0.09439513087272644, 0.4498286545276642)","(0.10136917233467102, 0.46321654319763184)",1,1,2.766220092773437,2.796356201171875,Fixation,POINT (0.0978821516036987 0.456522598862648),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395821478,16910224356,1,1,"(0.09203433245420456, 0.44605010747909546)","(0.10189929604530334, 0.4700958728790283)",1,1,2.74127197265625,2.7835235595703125,Fixation,POINT (0.096966814249754 0.4580729901790619),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395829811,16910232689,1,1,"(0.09259417653083801, 0.45134562253952026)","(0.10253958404064178, 0.46356260776519775)",1,1,2.763702392578125,2.779815673828125,Fixation,POINT (0.0975668802857399 0.457454115152359),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0,136,close,34413807,1208395838144,16910241022,1,1,"(0.09345393627882004, 0.4519639313220978)","(0.10337499529123306, 0.4738304615020752)",1,1,2.7403717041015625,2.7879791259765625,Fixation,POINT (0.0984144657850266 0.4628971964120865),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,close,34413807,1208395846478,16910249356,1,1,"(0.09222515672445297, 0.4472561776638031)","(0.10142010450363159, 0.472995787858963)",1,1,2.764251708984375,2.7841949462890625,Fixation,POINT (0.0968226306140423 0.4601259827613831),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
