,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testSetExample.0,System.0,out.0,println.0,"""testSetExample"".0",testString.0,=.0,"""<tag:foo>|n"".0",testString.1,+=.0,"""|t<tag:bar />"".100",testString.2,+=.1,"""</tag:foo>"".0",tag.1,setExample.0,testString.3,assertEquals.0,tag.2,getExample.0,testString.4,code,participant_summary
0,136,testSetExample,50891793,1212567957296,21082344994,1,1,"(0.7114366292953491, 0.16081906855106354)","(0.7115500569343567, 0.2022518813610077)",1,1,2.46044921875,2.40582275390625,Fixation,POINT (0.7114933431148529 0.1815354749560356),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567965630,21082353328,1,1,"(0.7164698243141174, 0.16500847041606903)","(0.7077268362045288, 0.200601726770401)",1,1,2.469818115234375,2.420379638671875,Fixation,POINT (0.7120983302593231 0.182805098593235),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567973963,21082361661,1,1,"(0.7117997407913208, 0.16563859581947327)","(0.7006213665008545, 0.21337322890758514)",1,1,2.470077514648437,2.415252685546875,Fixation,POINT (0.7062105536460876 0.1895059123635292),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567982296,21082369994,1,1,"(0.7132619619369507, 0.16241201758384705)","(0.7039473652839661, 0.2173212468624115)",1,1,2.4848785400390625,2.4196929931640625,Fixation,POINT (0.7086046636104584 0.1898666322231293),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567990630,21082378327,1,1,"(0.7105162143707275, 0.16053980588912964)","(0.7035653591156006, 0.19606593251228333)",1,1,2.465072631835937,2.422088623046875,Fixation,POINT (0.7070407867431641 0.1783028692007065),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212567998964,21082386661,1,1,"(0.7045980095863342, 0.16786882281303406)","(0.6992514729499817, 0.2083205133676529)",1,1,2.477752685546875,2.389801025390625,Fixation,POINT (0.701924741268158 0.1880946680903435),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212568007297,21082394994,1,1,"(0.7101423740386963, 0.16488370299339294)","(0.7028480172157288, 0.21220697462558746)",1,1,2.4638214111328125,2.4132232666015625,Fixation,POINT (0.7064951956272125 0.1885453388094902),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212568015630,21082403327,1,1,"(0.7084791660308838, 0.16236650943756104)","(0.7000998854637146, 0.20252951979637146)",1,1,2.482940673828125,2.420135498046875,Fixation,POINT (0.7042895257472992 0.1824480146169662),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212568023964,21082411661,1,1,"(0.7123415470123291, 0.16736111044883728)","(0.6992514729499817, 0.21521729230880737)",1,1,2.475326538085937,2.4095458984375,Fixation,POINT (0.7057965099811554 0.1912892013788223),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212568032297,21082419994,1,1,"(0.7089565992355347, 0.1611633449792862)","(0.6984410285949707, 0.2169373631477356)",1,1,2.4735260009765625,2.422225952148437,Fixation,POINT (0.7036988139152527 0.1890503540635109),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212568040631,21082428328,1,1,"(0.7103848457336426, 0.15710659325122833)","(0.6965398788452148, 0.21255627274513245)",1,1,2.47784423828125,2.3942413330078125,Fixation,POINT (0.7034623622894287 0.1848314329981804),,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testSetExample,50891793,1212568048964,21082436661,1,1,"(0.7145715355873108, 0.15597328543663025)","(0.6968352794647217, 0.21466699242591858)",1,1,2.4426422119140625,2.4164581298828125,Fixation,POINT (0.7057034075260162 0.1853201389312744),,,,,,,,,,,,,,,,,,,,,,,,,
