,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,boolean.0,equals.0,Object.0,obj.0,if.0,obj.1,==.0,nan.0,||.0,obj.2,getClass.0,!=.0,getClass.1,return.0,FALSE.0,CSSConditionalSelectorImpl.0,s.0,=.0,CSSConditionalSelectorImpl.1,obj.3,return.1,s.1,simpleSelector.0,equals.1,simpleSelector.1,&&.0,s.2,condition.0,equals.2,condition.1,code,participant_summary
0,136,equals,10222579,1211598169292,20112560950,1,1,"(0.14347054064273834, 0.1868198961019516)","(0.15038372576236725, 0.16633273661136627)",1,1,2.42572021484375,2.4370880126953125,Fixation,POINT (0.1469271332025528 0.1765763163566589),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598177626,20112569284,1,1,"(0.14214582741260529, 0.18931536376476288)","(0.15270616114139557, 0.1587989330291748)",1,1,2.4341583251953125,2.4619293212890625,Fixation,POINT (0.1474259942770004 0.1740571483969688),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598185959,20112577617,1,1,"(0.14164942502975464, 0.18909509479999542)","(0.14623741805553436, 0.17278838157653809)",1,1,2.4504852294921875,2.4418487548828125,Fixation,POINT (0.1439434215426445 0.1809417381882668),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598194293,20112585951,1,1,"(0.14385540783405304, 0.1915130317211151)","(0.14524731040000916, 0.1803138256072998)",1,1,2.434326171875,2.430572509765625,Fixation,POINT (0.1445513591170311 0.1859134286642075),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598202626,20112594284,1,1,"(0.14236658811569214, 0.182987779378891)","(0.14935599267482758, 0.16216883063316345)",1,1,2.4624176025390625,2.4395751953125,Fixation,POINT (0.1458612903952599 0.1725783050060272),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598210959,20112602617,1,1,"(0.14623242616653442, 0.18904459476470947)","(0.14519628882408142, 0.1690032035112381)",1,1,2.434051513671875,2.4351959228515625,Fixation,POINT (0.1457143574953079 0.1790238991379738),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598219293,20112610951,1,1,"(0.14828935265541077, 0.18396860361099243)","(0.14584384858608246, 0.17011527717113495)",1,1,2.4293212890625,2.4307098388671875,Fixation,POINT (0.1470666006207466 0.1770419403910637),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598227626,20112619284,1,1,"(0.14473097026348114, 0.18688879907131195)","(0.14963358640670776, 0.17439566552639008)",1,1,2.4416961669921875,2.436126708984375,Fixation,POINT (0.1471822783350944 0.180642232298851),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598235965,20112627623,1,1,"(0.14629395306110382, 0.1843412071466446)","(0.14645449817180634, 0.17014990746974945)",1,1,2.4512176513671875,2.463470458984375,Fixation,POINT (0.1463742256164551 0.177245557308197),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,equals,10222579,1211598244299,20112635957,1,1,"(0.14363425970077515, 0.18946363031864166)","(0.14868491888046265, 0.1620815247297287)",1,1,2.446746826171875,2.4368896484375,Fixation,POINT (0.1461595892906189 0.1757725775241852),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
