,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,moveUpTarget.0,int.0,index.0,Object.0,target.0,=.0,targets.0,get.0,index.1,if.0,index.2,==.0,0.0,||.0,target.1,==.1,nan.0,return;.0,targets.1,set.0,index.3,targets.2,get.1,index.4,-.0,1.0,targets.3,set.1,index.5,-.1,1.1,target.2,log.0,debug.0,"""New ordering"".100",for.0,int.1,i.0,=.1,0.1,i.1,<.0,targets.4,size.0,i.2,log.1,debug.1,"""|t"".0",+.0,i.3,+.1,targets.5,get.2,i.4,prewritten,accurate,missing,unnecessary,readable,code
0,136,moveUpTarget,37762493,1208477332829,16991735497,1,1,"(0.08906590938568115, 0.33495762944221497)","(0.10499051958322525, 0.37234169244766235)",1,1,2.554443359375,2.5987548828125,Fixation,POINT (0.0970282144844532 0.3536496609449387),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477341162,16991743830,1,1,"(0.0922468900680542, 0.34721285104751587)","(0.10234691947698593, 0.3690023124217987)",1,1,2.546905517578125,2.595001220703125,Fixation,POINT (0.0972969047725201 0.3581075817346573),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477349495,16991752163,1,1,"(0.08975052833557129, 0.34039339423179626)","(0.10182512551546097, 0.3791827857494354)",1,1,2.5688018798828125,2.60296630859375,Fixation,POINT (0.0957878269255161 0.3597880899906158),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477357829,16991760497,1,1,"(0.0941191092133522, 0.34151458740234375)","(0.09752967953681946, 0.3753083050251007)",1,1,2.5773162841796875,2.591339111328125,Fixation,POINT (0.0958243943750858 0.3584114462137222),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477366162,16991768830,1,1,"(0.09037375450134277, 0.34629330039024353)","(0.09651821106672287, 0.37248411774635315)",1,1,2.56658935546875,2.584823608398437,Fixation,POINT (0.0934459827840328 0.3593887090682983),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477374495,16991777163,1,1,"(0.09203707426786423, 0.34094154834747314)","(0.09495352953672409, 0.3750476539134979)",1,1,2.558380126953125,2.606231689453125,Fixation,POINT (0.0934953019022942 0.3579946011304855),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477382828,16991785496,1,1,"(0.08995628356933594, 0.3485068678855896)","(0.09694784879684448, 0.37050044536590576)",1,1,2.56170654296875,2.574676513671875,Fixation,POINT (0.0934520661830902 0.3595036566257477),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477391162,16991793830,1,1,"(0.09143558144569397, 0.34771496057510376)","(0.10020150244235992, 0.36744460463523865)",1,1,2.5838775634765625,2.5863189697265625,Fixation,POINT (0.095818541944027 0.3575797826051712),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477399495,16991802163,1,1,"(0.08734612166881561, 0.3447456955909729)","(0.10210772603750229, 0.3786059617996216)",1,1,2.5551910400390625,2.616485595703125,Fixation,POINT (0.094726923853159 0.3616758286952972),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,moveUpTarget,37762493,1208477407830,16991810497,1,1,"(0.08966013789176941, 0.33969059586524963)","(0.10785073786973953, 0.38017523288726807)",1,1,2.5585174560546875,2.6043243408203125,Fixation,POINT (0.0987554378807545 0.3599329143762588),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
