,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,String.0,getMessage.0,StringBuffer.0,sb.0,=.0,new.0,StringBuffer.1,if.0,messages.0,!=.0,nan.0,for.0,int.0,i.0,=.1,0.0,i.1,<.0,messages.1,size.0,i.2,Object.0,o.0,=.2,messages.2,elementAt.0,i.3,if.1,o.1,!=.1,nan.1,sb.1,append.0,o.2,toString.0,sb.2,append.1,"""|n"".0",return.0,sb.3,toString.1,prewritten,accurate,missing,unnecessary,readable,code
0,136,getMessage,51122387,1209070380090,17584781123,1,1,"(0.057800907641649246, 0.1483190804719925)","(0.06453918665647507, 0.17335447669029236)",1,1,2.5079498291015625,2.46502685546875,Fixation,POINT (0.0611700471490622 0.1608367785811424),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070388424,17584789457,1,1,"(0.05654027312994003, 0.1546124368906021)","(0.06927675008773804, 0.16161443293094635)",1,1,2.4763336181640625,2.455108642578125,Fixation,POINT (0.062908511608839 0.1581134349107742),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070396757,17584797790,1,1,"(0.055234529078006744, 0.15162669122219086)","(0.06539235264062881, 0.1672724336385727)",1,1,2.4859771728515625,2.4430694580078125,Fixation,POINT (0.0603134408593178 0.1594495624303818),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070405090,17584806123,1,1,"(0.055000584572553635, 0.15033020079135895)","(0.06728370487689972, 0.1722605973482132)",1,1,2.4954071044921875,2.4754638671875,Fixation,POINT (0.0611421447247267 0.1612953990697861),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070413428,17584814461,1,1,"(0.05671697109937668, 0.151085764169693)","(0.06704079359769821, 0.16949132084846497)",1,1,2.510955810546875,2.4539947509765625,Fixation,POINT (0.0618788823485374 0.160288542509079),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070421761,17584822794,1,1,"(0.056433189660310745, 0.14703740179538727)","(0.06296490877866745, 0.16888116300106049)",1,1,2.4930877685546875,2.433837890625,Fixation,POINT (0.0596990492194891 0.1579592823982239),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070430094,17584831127,1,1,"(0.05507282167673111, 0.15106774866580963)","(0.06712338328361511, 0.16246478259563446)",1,1,2.489166259765625,2.4390411376953125,Fixation,POINT (0.0610981024801731 0.156766265630722),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070438428,17584839461,1,1,"(0.05542999133467674, 0.15357114374637604)","(0.06662675738334656, 0.16355694830417633)",1,1,2.489654541015625,2.4697265625,Fixation,POINT (0.0610283743590116 0.1585640460252762),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070446761,17584847794,1,1,"(0.0554230734705925, 0.1570703089237213)","(0.07110060006380081, 0.16656626760959625)",1,1,2.476547241210937,2.45697021484375,Fixation,POINT (0.0632618367671967 0.1618182882666588),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070455094,17584856127,1,1,"(0.05780753865838051, 0.15291695296764374)","(0.07278409600257874, 0.16455191373825073)",1,1,2.4928741455078125,2.4718780517578125,Fixation,POINT (0.0652958173304796 0.1587344333529472),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070463428,17584864461,1,1,"(0.05756794288754463, 0.16040682792663574)","(0.06922610849142075, 0.17521098256111145)",1,1,2.4834442138671875,2.4571075439453125,Fixation,POINT (0.0633970256894827 0.1678089052438736),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070471761,17584872794,1,1,"(0.05715934932231903, 0.16008532047271729)","(0.06695325672626495, 0.16347341239452362)",1,1,2.5047760009765625,2.438690185546875,Fixation,POINT (0.062056303024292 0.1617793664336204),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070480094,17584881127,1,1,"(0.06188904494047165, 0.16041891276836395)","(0.06449070572853088, 0.17011621594429016)",1,1,2.4641876220703125,2.463363647460937,Fixation,POINT (0.0631898753345013 0.1652675643563271),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070488428,17584889461,1,1,"(0.06998149305582047, 0.144883930683136)","(0.08092580735683441, 0.16303159296512604)",1,1,2.491683959960937,2.4566192626953125,Fixation,POINT (0.0754536502063274 0.153957761824131),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070505094,17584906127,1,1,"(0.10592560470104218, 0.16360792517662048)","(0.12237904220819473, 0.15597198903560638)",1,1,2.510726928710937,2.4772491455078125,Fixation,POINT (0.1141523234546184 0.1597899571061134),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070513428,17584914461,1,1,"(0.10085940361022949, 0.1543699949979782)","(0.11518892645835876, 0.15007290244102478)",1,1,2.5161895751953125,2.4566650390625,Fixation,POINT (0.1080241650342941 0.1522214487195015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070521761,17584922794,1,1,"(0.10596887022256851, 0.15724404156208038)","(0.1189381405711174, 0.1564520001411438)",1,1,2.479949951171875,2.452484130859375,Fixation,POINT (0.112453505396843 0.1568480208516121),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070530094,17584931127,1,1,"(0.11019749939441681, 0.15885227918624878)","(0.1186390221118927, 0.14578944444656372)",1,1,2.49749755859375,2.4486541748046875,Fixation,POINT (0.1144182607531548 0.1523208618164062),,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070538431,17584939464,1,1,"(0.11198583245277405, 0.1503923088312149)","(0.11848129332065582, 0.14523501694202423)",1,1,2.48089599609375,2.451141357421875,Fixation,POINT (0.1152335628867149 0.1478136628866196),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070546764,17584947797,1,1,"(0.11030668765306473, 0.1462419331073761)","(0.11704052984714508, 0.1518721580505371)",1,1,2.5095977783203125,2.459686279296875,Fixation,POINT (0.1136736087501049 0.1490570455789566),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0,136,getMessage,51122387,1209070555097,17584956130,1,1,"(0.11179959028959274, 0.14821840822696686)","(0.12206784635782242, 0.14387543499469757)",1,1,2.47039794921875,2.4325714111328125,Fixation,POINT (0.1169337183237076 0.1460469216108322),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
