,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,messageSent.0,MessageEvent.0,e.0,String.0,str.0,=.0,e.1,getMessage.0,if.0,str.1,endsWith.0,DIR_ADDED.0,str.2,=.1,str.3,substring.0,DIRECTORY.0,length.0,str.4,indexOf.0,DIR_ADDED.1,)).0,trim.0,createCvsFiles.0,str.5,super.0,messageSent.1,e.2,code,participant_summary
0,136,messageSent,19413001,1211777409644,20291800573,1,1,"(0.08253253996372223, 0.2587263286113739)","(0.08670545369386673, 0.2392331063747406)",1,1,2.26483154296875,2.295166015625,Fixation,POINT (0.0846189968287945 0.2489797174930572),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211777417981,20291808910,1,1,"(0.08498754352331161, 0.267728716135025)","(0.0887150764465332, 0.23430600762367249)",1,1,2.278305053710937,2.2987213134765625,Fixation,POINT (0.0868513099849224 0.2510173618793488),,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
0,136,messageSent,19413001,1211777426314,20291817243,1,1,"(0.07898277044296265, 0.25775155425071716)","(0.09703513234853745, 0.23544465005397797)",1,1,2.274765014648437,2.314361572265625,Fixation,POINT (0.08800895139575 0.2465981021523476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211777434648,20291825577,1,1,"(0.07717788964509964, 0.2623582184314728)","(0.08983469754457474, 0.2316960096359253)",1,1,2.269927978515625,2.2789306640625,Fixation,POINT (0.0835062935948372 0.247027114033699),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211777442981,20291833910,1,1,"(0.08121307939291, 0.27222853899002075)","(0.08663517981767654, 0.23267777264118195)",1,1,2.274261474609375,2.316162109375,Fixation,POINT (0.0839241296052933 0.2524531558156014),,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
0,136,messageSent,19413001,1211777451314,20291842243,1,1,"(0.076022207736969, 0.25945520401000977)","(0.09131036698818207, 0.23605535924434662)",1,1,2.287261962890625,2.260238647460937,Fixation,POINT (0.0836662873625755 0.2477552816271782),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211777459648,20291850577,1,1,"(0.08132047951221466, 0.2615967392921448)","(0.09188219904899597, 0.23800082504749298)",1,1,2.2571258544921875,2.2984161376953125,Fixation,POINT (0.0866013392806053 0.2497987821698189),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211777467981,20291858910,1,1,"(0.0793316662311554, 0.27170130610466003)","(0.08757533878087997, 0.2443048357963562)",1,1,2.252960205078125,2.276336669921875,Fixation,POINT (0.0834535025060177 0.2580030709505081),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211777476314,20291867243,1,1,"(0.07374171912670135, 0.2721906900405884)","(0.08581807464361191, 0.23113490641117096)",1,1,2.276763916015625,2.2811737060546875,Fixation,POINT (0.0797798968851566 0.2516627982258797),,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
0,136,messageSent,19413001,1211777484648,20291875577,1,1,"(0.08138149976730347, 0.26214873790740967)","(0.09442704170942307, 0.2280292958021164)",1,1,2.27557373046875,2.298980712890625,Fixation,POINT (0.0879042707383633 0.245089016854763),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,messageSent,19413001,1211777492981,20291883910,1,1,"(0.08155514299869537, 0.2640939950942993)","(0.09415600448846817, 0.2278434783220291)",1,1,2.209228515625,2.3164825439453125,Fixation,POINT (0.0878555737435818 0.2459687367081642),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
