,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,private.0,void.0,goToRegistration.0,m_logo.0,setVisible.0,FALSE.0,m_login.0,setText.0,"""Cancel"".0",m_userLabel.0,setLocation.0,16.0,4.0,m_username.0,setLocation.1,16.1,24.0,m_passLabel.0,setLocation.2,16.2,52.0,m_password.0,setLocation.3,16.3,70.0,m_confirmPass.0,setVisible.1,TRUE.0,m_confPassLabel.0,setVisible.2,TRUE.1,m_male.0,setVisible.3,TRUE.2,m_female.0,setVisible.4,TRUE.3,this.0,setTitle.0,"""Registration"".0",code,participant_summary
0,136,goToRegistration,47570692,1211197628712,19712021911,1,1,"(0.06327489763498306, 0.18605849146842957)","(0.08380182087421417, 0.19451354444026947)",1,1,2.4406890869140625,2.5817413330078125,Fixation,POINT (0.0735383592545986 0.1902860179543495),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,goToRegistration,47570692,1211197637045,19712030244,1,1,"(0.07828301191329956, 0.18587155640125275)","(0.08468574285507202, 0.18956716358661652)",1,1,2.4511260986328125,2.5589141845703125,Fixation,POINT (0.0814843773841858 0.1877193599939346),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,goToRegistration,47570692,1211197645387,19712038586,1,1,"(0.06623274832963943, 0.17296163737773895)","(0.077399842441082, 0.17710407078266144)",1,1,2.4424591064453125,2.5758514404296875,Fixation,POINT (0.0718162953853607 0.1750328540802002),,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,goToRegistration,47570692,1211197653720,19712046919,1,1,"(0.075921930372715, 0.1805257648229599)","(0.07581669092178345, 0.18272435665130615)",1,1,2.42767333984375,2.5672760009765625,Fixation,POINT (0.0758693106472492 0.181625060737133),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,goToRegistration,47570692,1211197662059,19712055258,1,1,"(0.07269292324781418, 0.16938209533691406)","(0.08230456709861755, 0.18661458790302277)",1,1,2.447006225585937,2.5598907470703125,Fixation,POINT (0.0774987451732159 0.1779983416199684),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,goToRegistration,47570692,1211197670392,19712063591,1,1,"(0.07668844610452652, 0.17154550552368164)","(0.08393989503383636, 0.19380095601081848)",1,1,2.42352294921875,2.54156494140625,Fixation,POINT (0.0803141705691814 0.1826732307672501),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,goToRegistration,47570692,1211197678725,19712071924,1,1,"(0.0695061981678009, 0.17536668479442596)","(0.07957962155342102, 0.1899588704109192)",1,1,2.440338134765625,2.573348999023437,Fixation,POINT (0.074542909860611 0.1826627776026726),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,goToRegistration,47570692,1211197687059,19712080258,1,1,"(0.07337368279695511, 0.17353348433971405)","(0.07341890782117844, 0.19481520354747772)",1,1,2.440048217773437,2.550048828125,Fixation,POINT (0.0733962953090668 0.1841743439435959),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,goToRegistration,47570692,1211197695392,19712088591,1,1,"(0.07190556824207306, 0.16591647267341614)","(0.08334168791770935, 0.19674673676490784)",1,1,2.44720458984375,2.54296875,Fixation,POINT (0.0776236280798912 0.181331604719162),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,goToRegistration,47570692,1211197703726,19712096925,1,1,"(0.07689863443374634, 0.17115230858325958)","(0.09070152789354324, 0.19558653235435486)",1,1,2.4320831298828125,2.54327392578125,Fixation,POINT (0.0838000811636448 0.1833694204688072),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
