,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,go.0,String.0,theUserName.0,try.0,new.0,ChatUI.0,MessageInputReceiver.0,this.0,theUserName.1,// shake hands.200,writer.0,println.0,theUserName.2,writer.1,flush.0,// OK means init with server went well.201,if.0,reader.0,readLine.0,equals.0,"""OK"".0",initialized.0,=.0,TRUE.0,readChat.0,else.0,bailOut.0,new.1,IOException.0,"""handshake failed"".100",catch.0,IOException.1,ioe.0,bailOut.1,ioe.1,catch.1,Exception.0,e.0,bailOut.2,e.1,code,participant_summary
0,136,go,14477536,1211651563059,20165954493,1,1,"(0.2086026817560196, 0.2335079461336136)","(0.20878583192825317, 0.19072361290454865)",1,1,2.5819091796875,2.6181182861328125,Fixation,POINT (0.2086942568421364 0.2121157795190811),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651571392,20165962826,1,1,"(0.20983019471168518, 0.2299693077802658)","(0.20752234756946564, 0.19029711186885834)",1,1,2.5642242431640625,2.596710205078125,Fixation,POINT (0.2086762711405754 0.2101332098245621),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651579727,20165971161,1,1,"(0.2072153389453888, 0.21890832483768463)","(0.20267513394355774, 0.18840457499027252)",1,1,2.57635498046875,2.604736328125,Fixation,POINT (0.2049452364444733 0.2036564499139786),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651588061,20165979495,1,1,"(0.21140830218791962, 0.2313678115606308)","(0.20317360758781433, 0.19637978076934814)",1,1,2.55755615234375,2.58642578125,Fixation,POINT (0.207290954887867 0.2138737961649895),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651596394,20165987828,1,1,"(0.21342138946056366, 0.23249728977680206)","(0.20150882005691528, 0.18521516025066376)",1,1,2.581207275390625,2.588226318359375,Fixation,POINT (0.2074651047587395 0.2088562250137329),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651604727,20165996161,1,1,"(0.21715565025806427, 0.24121464788913727)","(0.2083723396062851, 0.18369241058826447)",1,1,2.568603515625,2.597320556640625,Fixation,POINT (0.2127639949321747 0.2124535292387009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651613061,20166004495,1,1,"(0.2166503667831421, 0.24135325849056244)","(0.21260860562324524, 0.19389237463474274)",1,1,2.5683135986328125,2.620391845703125,Fixation,POINT (0.2146294862031937 0.2176228165626526),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651621394,20166012828,1,1,"(0.21431848406791687, 0.23750032484531403)","(0.2064673900604248, 0.19437812268733978)",1,1,2.5764923095703125,2.59747314453125,Fixation,POINT (0.2103929370641708 0.2159392237663269),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651646394,20166037828,1,1,"(0.1334439218044281, 0.2402440309524536)","(0.12909956276416779, 0.21239124238491058)",1,1,2.569122314453125,2.585784912109375,Fixation,POINT (0.1312717422842979 0.2263176366686821),,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651654727,20166046161,1,1,"(0.1278703510761261, 0.23046329617500305)","(0.12811239063739777, 0.20910106599330902)",1,1,2.5533599853515625,2.5752105712890625,Fixation,POINT (0.1279913708567619 0.219782181084156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651663061,20166054495,1,1,"(0.1269436478614807, 0.23387379944324493)","(0.13494619727134705, 0.19689525663852692)",1,1,2.57183837890625,2.585052490234375,Fixation,POINT (0.1309449225664139 0.2153845280408859),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651671394,20166062828,1,1,"(0.12932246923446655, 0.2381795048713684)","(0.13454042375087738, 0.19569113850593567)",1,1,2.5897674560546875,2.613922119140625,Fixation,POINT (0.131931446492672 0.216935321688652),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651679727,20166071161,1,1,"(0.12246634811162949, 0.2350340187549591)","(0.12708385288715363, 0.2048340141773224)",1,1,2.585174560546875,2.608428955078125,Fixation,POINT (0.1247751004993916 0.2199340164661408),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651688061,20166079495,1,1,"(0.12990182638168335, 0.2392783761024475)","(0.14018313586711884, 0.2052125483751297)",1,1,2.57257080078125,2.5899200439453125,Fixation,POINT (0.1350424811244011 0.2222454622387886),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651696394,20166087828,1,1,"(0.12180525064468384, 0.2506878674030304)","(0.1381961554288864, 0.19545678794384003)",1,1,2.57379150390625,2.58953857421875,Fixation,POINT (0.1300007030367851 0.2230723276734352),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651704727,20166096161,1,1,"(0.13068430125713348, 0.23102803528308868)","(0.12456066161394119, 0.19329169392585754)",1,1,2.569549560546875,2.598617553710937,Fixation,POINT (0.1276224814355373 0.2121598646044731),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651713065,20166104499,1,1,"(0.12826061248779297, 0.2348618507385254)","(0.1315903663635254, 0.20951060950756073)",1,1,2.5898590087890625,2.590438842773437,Fixation,POINT (0.1299254894256592 0.2221862301230431),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651721401,20166112835,1,1,"(0.13335862755775452, 0.24212032556533813)","(0.13175322115421295, 0.20903554558753967)",1,1,2.6151275634765625,2.596923828125,Fixation,POINT (0.1325559243559837 0.2255779355764389),,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651729734,20166121168,1,1,"(0.12590007483959198, 0.24835368990898132)","(0.12328198552131653, 0.2070048302412033)",1,1,2.5836181640625,2.6008758544921875,Fixation,POINT (0.1245910301804542 0.2276792600750923),,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651738068,20166129502,1,1,"(0.12495593726634979, 0.2404419332742691)","(0.13167835772037506, 0.20940320193767548)",1,1,2.5935516357421875,2.60089111328125,Fixation,POINT (0.1283171474933624 0.2249225676059723),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651746401,20166137835,1,1,"(0.12480437755584717, 0.24356502294540405)","(0.1300693303346634, 0.20279480516910553)",1,1,2.5994873046875,2.60491943359375,Fixation,POINT (0.1274368539452553 0.2231799140572548),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651754734,20166146168,1,1,"(0.13170620799064636, 0.23745444416999817)","(0.12574167549610138, 0.19618839025497437)",1,1,2.59698486328125,2.5924224853515625,Fixation,POINT (0.1287239417433739 0.2168214172124863),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651763067,20166154501,1,1,"(0.12634669244289398, 0.23423288762569427)","(0.1357368677854538, 0.20503705739974976)",1,1,2.6068572998046875,2.5841217041015625,Fixation,POINT (0.1310417801141739 0.219634972512722),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651771401,20166162835,1,1,"(0.13371168076992035, 0.24791274964809418)","(0.12807607650756836, 0.21201981604099274)",1,1,2.632171630859375,2.60089111328125,Fixation,POINT (0.1308938786387444 0.2299662828445435),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651779735,20166171168,1,1,"(0.12061981856822968, 0.2528315484523773)","(0.13608089089393616, 0.19731535017490387)",1,1,2.592758178710937,2.61456298828125,Fixation,POINT (0.1283503547310829 0.2250734493136406),,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651788068,20166179501,1,1,"(0.12436600774526596, 0.2564857304096222)","(0.12571772933006287, 0.20726241171360016)",1,1,2.6095733642578125,2.6077423095703125,Fixation,POINT (0.1250418685376644 0.2318740710616112),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651796402,20166187835,1,1,"(0.1295488327741623, 0.25671473145484924)","(0.12923458218574524, 0.21036694943904877)",1,1,2.6084442138671875,2.599960327148437,Fixation,POINT (0.1293917074799538 0.233540840446949),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651804735,20166196168,1,1,"(0.1300489455461502, 0.231929749250412)","(0.13221202790737152, 0.19205619394779205)",1,1,2.605331420898437,2.596771240234375,Fixation,POINT (0.1311304867267609 0.211992971599102),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651813068,20166204501,1,1,"(0.12633222341537476, 0.22391752898693085)","(0.12815412878990173, 0.20623087882995605)",1,1,2.60809326171875,2.6123199462890625,Fixation,POINT (0.1272431761026382 0.2150742039084434),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651821402,20166212835,1,1,"(0.12021684646606445, 0.2287544310092926)","(0.12601131200790405, 0.2150544375181198)",1,1,2.6316070556640625,2.59454345703125,Fixation,POINT (0.1231140792369842 0.2219044342637062),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651829735,20166221168,1,1,"(0.12170882523059845, 0.22983944416046143)","(0.13039861619472504, 0.20282474160194397)",1,1,2.6123504638671875,2.5998077392578125,Fixation,POINT (0.1260537207126617 0.2163320928812027),,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651838068,20166229501,1,1,"(0.12920016050338745, 0.2334061861038208)","(0.135647252202034, 0.20837634801864624)",1,1,2.60736083984375,2.587753295898437,Fixation,POINT (0.1324237063527107 0.2208912670612335),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651846409,20166237842,1,1,"(0.13337442278862, 0.23900432884693146)","(0.12862089276313782, 0.2023543268442154)",1,1,2.61199951171875,2.6165924072265625,Fixation,POINT (0.1309976577758789 0.2206793278455734),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651854742,20166246175,1,1,"(0.13312293589115143, 0.2384830117225647)","(0.1275317370891571, 0.2125689536333084)",1,1,2.618148803710937,2.6106414794921875,Fixation,POINT (0.1303273364901543 0.2255259826779366),,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651863075,20166254508,1,1,"(0.12588468194007874, 0.2406081110239029)","(0.12863501906394958, 0.20785725116729736)",1,1,2.5996856689453125,2.610137939453125,Fixation,POINT (0.1272598505020142 0.2242326810956001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,go,14477536,1211651871409,20166262842,1,1,"(0.12495028972625732, 0.2390611469745636)","(0.13273221254348755, 0.19997407495975494)",1,1,2.6243133544921875,2.587249755859375,Fixation,POINT (0.1288412511348724 0.2195176109671593),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
