,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,void.0,testValidateSeparationCount.0,try.0,LinearDimension.0,validateSeparationCount.0,0.0,fail.0,catch.0,IllegalArgumentException.0,ex.0,// ok.200,try.1,LinearDimension.1,validateSeparationCount.1,-.0,2.0,fail.1,catch.1,IllegalArgumentException.1,ex.1,// ok.201,LinearDimension.2,validateSeparationCount.2,1.0,LinearDimension.3,validateSeparationCount.3,2988.0,code,participant_summary
0,136,testValidateSeparationCount,26285656,1212217685218,20732074363,1,1,"(0.24574579298496246, 0.47337764501571655)","(0.2709439992904663, 0.459781289100647)",1,1,2.41064453125,2.4259185791015625,Fixation,POINT (0.2583448961377144 0.4665794670581818),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217693551,20732082696,1,1,"(0.24353499710559845, 0.46774473786354065)","(0.26602452993392944, 0.4617660641670227)",1,1,2.3812408447265625,2.415130615234375,Fixation,POINT (0.254779763519764 0.4647554010152817),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217701888,20732091033,1,1,"(0.25093376636505127, 0.46735045313835144)","(0.26048243045806885, 0.4596237540245056)",1,1,2.4000701904296875,2.4127197265625,Fixation,POINT (0.2557080984115601 0.4634871035814285),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217710222,20732099367,1,1,"(0.2505922019481659, 0.45053088665008545)","(0.2606337070465088, 0.4512711763381958)",1,1,2.409408569335937,2.4254608154296875,Fixation,POINT (0.2556129544973373 0.4509010314941406),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217718555,20732107700,1,1,"(0.24549202620983124, 0.4657920002937317)","(0.2648739814758301, 0.46162933111190796)",1,1,2.419174194335937,2.4067840576171875,Fixation,POINT (0.2551830038428307 0.4637106657028198),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217726888,20732116033,1,1,"(0.24610412120819092, 0.4755919277667999)","(0.26984933018684387, 0.4543781578540802)",1,1,2.374481201171875,2.43585205078125,Fixation,POINT (0.2579767256975174 0.4649850428104401),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217735222,20732124367,1,1,"(0.24512481689453125, 0.4504917860031128)","(0.2653626501560211, 0.46692541241645813)",1,1,2.3937225341796875,2.430999755859375,Fixation,POINT (0.2552437335252762 0.4587085992097855),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217743555,20732132700,1,1,"(0.24533045291900635, 0.4519919753074646)","(0.26583611965179443, 0.46221286058425903)",1,1,2.39544677734375,2.4356842041015625,Fixation,POINT (0.2555832862854004 0.4571024179458618),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217751888,20732141033,1,1,"(0.2441786676645279, 0.4688587188720703)","(0.26852378249168396, 0.4463585317134857)",1,1,2.4293212890625,2.419036865234375,Fixation,POINT (0.2563512250781059 0.457608625292778),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217760223,20732149367,1,1,"(0.24522674083709717, 0.46485981345176697)","(0.2653014361858368, 0.46236100792884827)",1,1,2.3805389404296875,2.4244384765625,Fixation,POINT (0.255264088511467 0.4636104106903076),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217768556,20732157700,1,1,"(0.24547454714775085, 0.4506930708885193)","(0.261238157749176, 0.4638102948665619)",1,1,2.416015625,2.4331817626953125,Fixation,POINT (0.2533563524484634 0.4572516828775406),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217776889,20732166033,1,1,"(0.250047892332077, 0.45414334535598755)","(0.2588925063610077, 0.46546393632888794)",1,1,2.40692138671875,2.433502197265625,Fixation,POINT (0.2544701993465424 0.4598036408424377),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,testValidateSeparationCount,26285656,1212217826889,20732216033,1,1,"(0.16105122864246368, 0.25965383648872375)","(0.17792709171772003, 0.23199720680713654)",1,1,2.38995361328125,2.369476318359375,Fixation,POINT (0.1694891601800919 0.2458255216479302),,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217835229,20732224373,1,1,"(0.15859940648078918, 0.28577664494514465)","(0.17673109471797943, 0.2576252520084381)",1,1,2.3813018798828125,2.3545684814453125,Fixation,POINT (0.1676652505993843 0.2717009484767914),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,testValidateSeparationCount,26285656,1212217843562,20732232706,1,1,"(0.15294353663921356, 0.25945523381233215)","(0.174056738615036, 0.23943307995796204)",1,1,2.427337646484375,2.3711700439453125,Fixation,POINT (0.1635001376271248 0.2494441568851471),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
