,participant_id,function_name,function_id,system_timestamp,device_timestamp,valid_gaze_left,valid_gaze_right,gaze_left_eye,gaze_right_eye,valid_pd_left,valid_pd_right,pd_left,pd_right,fixation,geometry,public.0,WebImage.0,getImageWithSource.0,String.0,source.0,WebImage.1,images.0,=.0,getImages.0,for.0,int.0,i.0,=.1,0.0,i.1,<.0,images.1,length.0,i.2,if.0,HttpUnitUtils.0,matches.0,source.1,images.2,i.3,].0,getSource.0,return.0,images.3,i.4,return.1,nan.0,code,participant_summary
0,136,getImageWithSource,1782360,1212452944473,20967332626,1,1,"(0.650962233543396, 0.19043304026126862)","(0.6495237946510315, 0.19551336765289307)",1,1,2.5781402587890625,2.5223541259765625,Fixation,POINT (0.6502430140972137 0.1929732039570808),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452952806,20967340959,1,1,"(0.6559329032897949, 0.1933644562959671)","(0.6510357856750488, 0.19165344536304474)",1,1,2.5612335205078125,2.5011138916015625,Fixation,POINT (0.6534843444824219 0.1925089508295059),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452961139,20967349292,1,1,"(0.645941436290741, 0.19187505543231964)","(0.6397486329078674, 0.1923249214887619)",1,1,2.57769775390625,2.5031890869140625,Fixation,POINT (0.6428450345993042 0.1920999884605408),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452969473,20967357626,1,1,"(0.641739547252655, 0.19596202671527863)","(0.6495833396911621, 0.19308559596538544)",1,1,2.5480194091796875,2.505966186523437,Fixation,POINT (0.6456614434719086 0.194523811340332),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452977806,20967365959,1,1,"(0.6482133865356445, 0.2010401487350464)","(0.6523580551147461, 0.2005651444196701)",1,1,2.5636749267578125,2.481307983398437,Fixation,POINT (0.6502857208251953 0.2008026465773582),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452986143,20967374296,1,1,"(0.6501878499984741, 0.19480037689208984)","(0.6527570486068726, 0.19624021649360657)",1,1,2.562728881835937,2.5110015869140625,Fixation,POINT (0.6514724493026733 0.1955202966928482),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212452994477,20967382630,1,1,"(0.6507062315940857, 0.19307482242584229)","(0.6427251696586609, 0.18900299072265625)",1,1,2.5590362548828125,2.47320556640625,Fixation,POINT (0.6467157006263733 0.1910389065742493),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212453002810,20967390963,1,1,"(0.6487077474594116, 0.19717571139335632)","(0.6475101113319397, 0.18809600174427032)",1,1,2.556549072265625,2.465072631835937,Fixation,POINT (0.6481089293956757 0.1926358565688133),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212453011143,20967399296,1,1,"(0.6497613191604614, 0.20353291928768158)","(0.6375959515571594, 0.19577905535697937)",1,1,2.542098999023437,2.49517822265625,Fixation,POINT (0.6436786353588104 0.1996559873223305),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212453019477,20967407630,1,1,"(0.6481205224990845, 0.20346975326538086)","(0.641343355178833, 0.2002832293510437)",1,1,2.564559936523437,2.479232788085937,Fixation,POINT (0.6447319388389587 0.2018764913082123),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212453027810,20967415963,1,1,"(0.64104163646698, 0.19218240678310394)","(0.6410558223724365, 0.1946393996477127)",1,1,2.549591064453125,2.4723663330078125,Fixation,POINT (0.6410487294197083 0.1934109032154083),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212453036143,20967424296,1,1,"(0.6449456810951233, 0.19500388205051422)","(0.6459824442863464, 0.19098538160324097)",1,1,2.5471954345703125,2.4688262939453125,Fixation,POINT (0.6454640626907349 0.1929946318268776),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212453044477,20967432630,1,1,"(0.6467690467834473, 0.1912609189748764)","(0.6457052230834961, 0.1958802491426468)",1,1,2.56304931640625,2.4770965576171875,Fixation,POINT (0.6462371349334717 0.1935705840587616),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212453052802,20967440955,1,1,"(0.6463826894760132, 0.1996578872203827)","(0.6477025151252747, 0.1924828588962555)",1,1,2.526611328125,2.4389190673828125,Fixation,POINT (0.6470426023006439 0.1960703730583191),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212453061135,20967449288,1,1,"(0.6533327698707581, 0.1984720379114151)","(0.6499039530754089, 0.18994814157485962)",1,1,2.55328369140625,2.45098876953125,Fixation,POINT (0.6516183614730835 0.1942100897431374),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212453069469,20967457621,1,1,"(0.6528630256652832, 0.19040590524673462)","(0.6486924886703491, 0.19665905833244324)",1,1,2.5537567138671875,2.4359893798828125,Fixation,POINT (0.6507777571678162 0.1935324817895889),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,136,getImageWithSource,1782360,1212453136148,20967524300,1,1,"(0.2773091197013855, 0.263725221157074)","(0.2817440927028656, 0.2517903447151184)",1,1,2.5142364501953125,2.545013427734375,Fixation,POINT (0.2795266062021256 0.2577577829360962),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453144481,20967532633,1,1,"(0.27725714445114136, 0.2702544629573822)","(0.2794029116630554, 0.23480184376239777)",1,1,2.5521240234375,2.5225067138671875,Fixation,POINT (0.2783300280570984 0.25252815335989),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453152815,20967540967,1,1,"(0.27078014612197876, 0.28079667687416077)","(0.2721618413925171, 0.2550385594367981)",1,1,2.519393920898437,2.51165771484375,Fixation,POINT (0.2714709937572479 0.2679176181554794),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453161140,20967549292,1,1,"(0.28108882904052734, 0.281048983335495)","(0.2801928222179413, 0.24486011266708374)",1,1,2.53143310546875,2.508941650390625,Fixation,POINT (0.2806408256292343 0.2629545480012894),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453169473,20967557625,1,1,"(0.2833212912082672, 0.27519410848617554)","(0.27353981137275696, 0.24804247915744781)",1,1,2.51397705078125,2.52459716796875,Fixation,POINT (0.2784305512905121 0.2616182938218117),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453177815,20967565967,1,1,"(0.2735941708087921, 0.2711021304130554)","(0.27286240458488464, 0.24736009538173676)",1,1,2.5127410888671875,2.496826171875,Fixation,POINT (0.2732282876968384 0.2592311128973961),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453186148,20967574300,1,1,"(0.2814438045024872, 0.2619430422782898)","(0.28249919414520264, 0.24299682676792145)",1,1,2.512802124023437,2.5179443359375,Fixation,POINT (0.2819714993238449 0.2524699345231056),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453194482,20967582634,1,1,"(0.2815157473087311, 0.268521785736084)","(0.2711465060710907, 0.2406042218208313)",1,1,2.514739990234375,2.5237274169921875,Fixation,POINT (0.2763311266899109 0.2545630037784576),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453202815,20967590967,1,1,"(0.2768118381500244, 0.2775329053401947)","(0.2823639214038849, 0.24594739079475403)",1,1,2.52655029296875,2.516204833984375,Fixation,POINT (0.2795878797769546 0.2617401480674744),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453211148,20967599300,1,1,"(0.28343436121940613, 0.2673078775405884)","(0.26892054080963135, 0.2293243408203125)",1,1,2.537689208984375,2.535491943359375,Fixation,POINT (0.2761774510145187 0.2483161091804504),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453219481,20967607633,1,1,"(0.27472206950187683, 0.25620734691619873)","(0.2817968428134918, 0.23750737309455872)",1,1,2.508148193359375,2.5240936279296875,Fixation,POINT (0.2782594561576843 0.2468573600053787),,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453227815,20967615967,1,1,"(0.27945226430892944, 0.25623977184295654)","(0.27328866720199585, 0.23484337329864502)",1,1,2.498931884765625,2.526397705078125,Fixation,POINT (0.2763704657554626 0.2455415725708008),,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453236140,20967624292,1,1,"(0.27883800864219666, 0.2729385793209076)","(0.2775569558143616, 0.233702152967453)",1,1,2.537582397460937,2.51263427734375,Fixation,POINT (0.2781974822282791 0.2533203661441803),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453244473,20967632625,1,1,"(0.2830502986907959, 0.2769980728626251)","(0.2756112813949585, 0.23390913009643555)",1,1,2.504501342773437,2.5234832763671875,Fixation,POINT (0.2793307900428772 0.2554536014795303),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453252811,20967640963,1,1,"(0.275692880153656, 0.28472182154655457)","(0.27802759408950806, 0.23932670056819916)",1,1,2.47955322265625,2.5221099853515625,Fixation,POINT (0.276860237121582 0.2620242610573769),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453261145,20967649297,1,1,"(0.280355840921402, 0.27898433804512024)","(0.2724126875400543, 0.24753792583942413)",1,1,2.4889373779296875,2.531341552734375,Fixation,POINT (0.2763842642307282 0.2632611319422722),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453269478,20967657630,1,1,"(0.27802953124046326, 0.2741626799106598)","(0.276682585477829, 0.25103896856307983)",1,1,2.494171142578125,2.513580322265625,Fixation,POINT (0.2773560583591461 0.2626008242368698),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453277811,20967665963,1,1,"(0.28667783737182617, 0.2770700454711914)","(0.27142855525016785, 0.250140517950058)",1,1,2.5409088134765625,2.516098022460937,Fixation,POINT (0.279053196310997 0.2636052817106247),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453286153,20967674305,1,1,"(0.2927926182746887, 0.2641003131866455)","(0.28314298391342163, 0.24957385659217834)",1,1,2.487213134765625,2.530364990234375,Fixation,POINT (0.2879678010940552 0.2568370848894119),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453319488,20967707639,1,1,"(0.43867313861846924, 0.25355443358421326)","(0.4479978680610657, 0.23414884507656097)",1,1,2.51788330078125,2.499420166015625,Fixation,POINT (0.4433355033397675 0.2438516393303871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453327821,20967715972,1,1,"(0.4503691494464874, 0.25621142983436584)","(0.45164984464645386, 0.2422109842300415)",1,1,2.515289306640625,2.49737548828125,Fixation,POINT (0.4510094970464706 0.2492112070322037),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453336154,20967724305,1,1,"(0.44863519072532654, 0.24956272542476654)","(0.45108649134635925, 0.24964217841625214)",1,1,2.501373291015625,2.50494384765625,Fixation,POINT (0.4498608410358429 0.2496024519205093),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453344487,20967732638,1,1,"(0.4504154920578003, 0.2517155706882477)","(0.4563555121421814, 0.2535882294178009)",1,1,2.5133209228515625,2.5159149169921875,Fixation,POINT (0.4533855020999908 0.2526519000530243),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453352821,20967740972,1,1,"(0.45200061798095703, 0.26945778727531433)","(0.44542834162712097, 0.23988467454910278)",1,1,2.51434326171875,2.5054931640625,Fixation,POINT (0.448714479804039 0.2546712309122086),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453361154,20967749305,1,1,"(0.45041152834892273, 0.25973987579345703)","(0.44988107681274414, 0.24115417897701263)",1,1,2.4912261962890625,2.512359619140625,Fixation,POINT (0.4501463025808334 0.2504470273852348),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453369487,20967757638,1,1,"(0.45581698417663574, 0.2548234164714813)","(0.4447365403175354, 0.23904980719089508)",1,1,2.516830444335937,2.50732421875,Fixation,POINT (0.4502767622470856 0.2469366118311882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453377822,20967765973,1,1,"(0.45050644874572754, 0.26127898693084717)","(0.44676050543785095, 0.252748042345047)",1,1,2.5211334228515625,2.50311279296875,Fixation,POINT (0.4486334770917892 0.2570135146379471),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
0,136,getImageWithSource,1782360,1212453386155,20967774306,1,1,"(0.4509645998477936, 0.26158249378204346)","(0.4476303458213806, 0.25334644317626953)",1,1,2.518096923828125,2.4944305419921875,Fixation,POINT (0.4492974728345871 0.2574644684791565),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
